context,family,version,resource,priority,response_time,status,date,timestamp
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,500,200,2021-12-25,2021-12-25T13:50:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,500,500,2021-12-25,2021-12-25T13:51:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,500,500,2021-12-25,2021-12-25T13:52:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,500,500,2021-12-25,2021-12-25T13:53:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,500,200,2021-12-25,2021-12-25T13:54:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,500,200,2021-12-25,2021-12-25T13:55:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,500,200,2021-12-25,2021-12-25T13:56:36Z
open-banking,discovery,v1,/discovery/v1/status,HIGH,500,200,2021-12-25,2021-12-25T13:50:36Z
open-banking,discovery,v1,/discovery/v1/status,HIGH,500,500,2021-12-25,2021-12-25T13:51:36Z
open-banking,discovery,v1,/discovery/v1/status,HIGH,500,500,2021-12-25,2021-12-25T13:52:36Z
open-banking,discovery,v1,/discovery/v1/status,HIGH,500,500,2021-12-25,2021-12-25T13:53:36Z
open-banking,discovery,v1,/discovery/v1/status,HIGH,500,200,2021-12-25,2021-12-25T13:54:36Z
open-banking,discovery,v1,/discovery/v1/status,HIGH,500,200,2021-12-25,2021-12-25T13:55:36Z
open-banking,discovery,v1,/discovery/v1/status,HIGH,500,200,2021-12-25,2021-12-25T13:56:36Z
open-banking,admin,v1,/admin/v1/metrics,UNATTENDED,500,200,2021-12-25,2021-12-25T13:50:36Z
open-banking,admin,v1,/admin/v1/metrics,UNATTENDED,500,500,2021-12-25,2021-12-25T13:51:36Z
open-banking,admin,v1,/admin/v1/metrics,UNATTENDED,500,500,2021-12-25,2021-12-25T13:52:36Z
open-banking,admin,v1,/admin/v1/metrics,UNATTENDED,500,500,2021-12-25,2021-12-25T13:53:36Z
open-banking,admin,v1,/admin/v1/metrics,UNATTENDED,500,200,2021-12-25,2021-12-25T13:54:36Z
open-banking,admin,v1,/admin/v1/metrics,UNATTENDED,500,200,2021-12-25,2021-12-25T13:55:36Z
open-banking,admin,v1,/admin/v1/metrics,UNATTENDED,500,200,2021-12-25,2021-12-25T13:56:36Z
open-insurance,accounts,v1,/accounts/v1/accounts,MEDIUM,500,200,2021-12-25,2021-12-25T13:50:36Z
open-insurance,accounts,v1,/accounts/v1/accounts,MEDIUM,500,500,2021-12-25,2021-12-25T13:51:36Z
open-insurance,accounts,v1,/accounts/v1/accounts,MEDIUM,500,500,2021-12-25,2021-12-25T13:52:36Z
open-insurance,accounts,v1,/accounts/v1/accounts,MEDIUM,500,500,2021-12-25,2021-12-25T13:53:36Z
open-insurance,accounts,v1,/accounts/v1/accounts,MEDIUM,500,200,2021-12-25,2021-12-25T13:54:36Z
open-insurance,accounts,v1,/accounts/v1/accounts,MEDIUM,500,200,2021-12-25,2021-12-25T13:55:36Z
open-insurance,accounts,v1,/accounts/v1/accounts,MEDIUM,500,200,2021-12-25,2021-12-25T13:56:36Z
open-insurance,discovery,v1,/discovery/v1/status,HIGH,500,200,2021-12-25,2021-12-25T13:50:36Z
open-insurance,discovery,v1,/discovery/v1/status,HIGH,500,500,2021-12-25,2021-12-25T13:51:36Z
open-insurance,discovery,v1,/discovery/v1/status,HIGH,500,500,2021-12-25,2021-12-25T13:52:36Z
open-insurance,discovery,v1,/discovery/v1/status,HIGH,500,500,2021-12-25,2021-12-25T13:53:36Z
open-insurance,discovery,v1,/discovery/v1/status,HIGH,500,200,2021-12-25,2021-12-25T13:54:36Z
open-insurance,discovery,v1,/discovery/v1/status,HIGH,500,200,2021-12-25,2021-12-25T13:55:36Z
open-insurance,discovery,v1,/discovery/v1/status,HIGH,500,200,2021-12-25,2021-12-25T13:56:36Z
open-insurance,admin,v1,/admin/v1/metrics,UNATTENDED,500,200,2021-12-25,2021-12-25T13:50:36Z
open-insurance,admin,v1,/admin/v1/metrics,UNATTENDED,500,500,2021-12-25,2021-12-25T13:51:36Z
open-insurance,admin,v1,/admin/v1/metrics,UNATTENDED,500,500,2021-12-25,2021-12-25T13:52:36Z
open-insurance,admin,v1,/admin/v1/metrics,UNATTENDED,500,500,2021-12-25,2021-12-25T13:53:36Z
open-insurance,admin,v1,/admin/v1/metrics,UNATTENDED,500,200,2021-12-25,2021-12-25T13:54:36Z
open-insurance,admin,v1,/admin/v1/metrics,UNATTENDED,500,200,2021-12-25,2021-12-25T13:55:36Z
open-insurance,admin,v1,/admin/v1/metrics,UNATTENDED,500,200,2021-12-25,2021-12-25T13:56:36Z
open-banking,accounts,v1,/accounts/v1/accounts,MEDIUM,500,200,2021-12-26,2021-12-25T13:50:36Z
